"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"Cluster_32"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Candidatus Arthromitus"	"unknown species"
"Cluster_43"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Candidatus Arthromitus"	"unknown species"
"Cluster_61"	"Bacteria"	"Fusobacteriota"	"Fusobacteriia"	"Fusobacteriales"	"Fusobacteriaceae"	"Fusobacterium"	"Multi-affiliation"
"Cluster_142"	"Bacteria"	"Fusobacteriota"	"Fusobacteriia"	"Fusobacteriales"	"Fusobacteriaceae"	"Fusobacterium"	"Multi-affiliation"
"Cluster_60"	"Bacteria"	"Spirochaetota"	"Spirochaetia"	"Spirochaetales"	"Spirochaetaceae"	"Sphaerochaeta"	"unknown species"
"Cluster_40"	"Bacteria"	"Multi-affiliation"	"Multi-affiliation"	"Multi-affiliation"	"Multi-affiliation"	"Multi-affiliation"	"Multi-affiliation"
"Cluster_126"	"Bacteria"	"Desulfobacterota"	"Desulfovibrionia"	"Desulfovibrionales"	"Desulfovibrionaceae"	"Desulfovibrio"	"Desulfovibrio piger"
"Cluster_95"	"Bacteria"	"Desulfobacterota"	"Desulfovibrionia"	"Desulfovibrionales"	"Desulfovibrionaceae"	"Desulfovibrio"	"Multi-affiliation"
"Cluster_10"	"Bacteria"	"Desulfobacterota"	"Desulfovibrionia"	"Desulfovibrionales"	"Desulfovibrionaceae"	"Desulfovibrio"	"bacterium 'New Zealand D'"
"Cluster_68"	"Bacteria"	"Desulfobacterota"	"Desulfovibrionia"	"Desulfovibrionales"	"Desulfovibrionaceae"	"Desulfovibrio"	"bacterium 'New Zealand D'"
"Cluster_13"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Multi-affiliation"	"Multi-affiliation"	"Multi-affiliation"	"Multi-affiliation"
"Cluster_65"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Pasteurellaceae"	"Haemophilus"	"Multi-affiliation"
"Cluster_148"	"Bacteria"	"Actinobacteriota"	"Coriobacteriia"	"Coriobacteriales"	"Eggerthellaceae"	"Paraeggerthella"	"Paraeggerthella sp."
"Cluster_317"	"Bacteria"	"Actinobacteriota"	"Coriobacteriia"	"Coriobacteriales"	"Atopobiaceae"	"Olsenella"	"Olsenella sp."
"Cluster_18"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Rothia"	"Rothia nasimurium"
"Cluster_119"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Rothia"	"Rothia nasimurium"
